original_org_name,variant
UNICEF - Fonds des Nations Unies pour l'enfance,United Nations Children's Fund - Fonds des Nations Unies pour l'enfance
UNICEF - Fonds des Nations Unies pour l'enfance,UNICEF  Fonds des Nations Unies pour lenfance
UNICEF - Fonds des Nations Unies pour l'enfance,unicef - fonds des nations unies pour l'enfance
Agence canadienne de développement international,agence canadienne de développement international
Agence canadienne de développement international,Agence canadienne de développement international
Forest Carbon Partnership Facility,Forest Carbon Partnership Faiclity
Forest Carbon Partnership Facility,forest carbon partnership facility
Forest Carbon Partnership Facility,Forest Carbon Partnership Facility
International Atomic Energy AgencyNuclear Security Fund,International Atomic Energy AgencyNuclear Security Fund
International Atomic Energy AgencyNuclear Security Fund,Internatoinal Atomic Energy AgencyNuclear Security Fund
International Atomic Energy AgencyNuclear Security Fund,international atomic energy agencynuclear security fund
Banque canadienne de grains,Banque canadienne de grians
Banque canadienne de grains,Banque canadienne de grains
Banque canadienne de grains,banque canadienne de grains
International Bureau for,International Bureau ofr
International Bureau for,International Bureau for
International Bureau for,international bureau for
Aga Khan Foundation Canada,Aga Khan Foudnation Canada
Aga Khan Foundation Canada,aga khan foundation canada
Aga Khan Foundation Canada,Aga Khan Foundation Canada
Non codé,No ncodé
Non codé,non codé
Non codé,Non codé
BCEI - Bureau canadien de l'éducation internationale,BCEI - Bureau canadien de l'éducatio ninternationale
BCEI - Bureau canadien de l'éducation internationale,BCEI - Bureau canadien de l'éducation internationale
BCEI - Bureau canadien de l'éducation internationale,bcei - bureau canadien de l'éducation internationale
BCEI - Bureau canadien de l'éducation internationale,BCEI  Bureau canadien de léducation internationale
Fisheries and Oceans,Fisheries and Oceans
Fisheries and Oceans,fisheries and oceans
Fisheries and Oceans,Fisheriesa nd Oceans
Colleges and Institutes Canada (previously named ACCC),Colleges and Institutes Canada previously named ACCC
Colleges and Institutes Canada (previously named ACCC),Colleges and Institutes Canada (previously named ACCC)
Colleges and Institutes Canada (previously named ACCC),Colleges and Institutes Canada (previously nmaed ACCC)
Colleges and Institutes Canada (previously named ACCC),colleges and institutes canada (previously named accc)
TI - Transparence international,TI  Transparence international
TI - Transparence international,TI - Transparence intenrational
TI - Transparence international,ti - transparence international
TI - Transparence international,TI - Transparence international
PAM - Programme alimentaire mondial,WFP
PAM - Programme alimentaire mondial,pam - programme alimentaire mondial
PAM - Programme alimentaire mondial,PAM - Programme alimentaire mondial
PAM - Programme alimentaire mondial,World Food Programme
PAM - Programme alimentaire mondial,PAM - Porgramme alimentaire mondial
PAM - Programme alimentaire mondial,PAM  Programme alimentaire mondial
L'Oeuvre Léger,l'oeuvre léger
L'Oeuvre Léger,LOeuvre Léger
L'Oeuvre Léger,L'Oeuvre Léger
L'Oeuvre Léger,LO'euvre Léger
Syspons GmbH,syspons gmbh
Syspons GmbH,Syspnos GmbH
Syspons GmbH,Syspons GmbH
SiNERGi Erneuerbare Energien GmbH,SiNERGi Erenuerbare Energien GmbH
SiNERGi Erneuerbare Energien GmbH,SiNERGi Erneuerbare Energien GmbH
SiNERGi Erneuerbare Energien GmbH,sinergi erneuerbare energien gmbh
Danish Energy Management A/S,Danish Energy Management A/S
Danish Energy Management A/S,Danish Energy Management /AS
Danish Energy Management A/S,Danish Energy Management AS
Danish Energy Management A/S,danish energy management a/s
International Organization for Migration (IOM),international organization for migration (iom)
International Organization for Migration (IOM),International Organization for Migration IOM
International Organization for Migration (IOM),International Organization for Migration (IOM)
International Organization for Migration (IOM),International rOganization for Migration (IOM)
Germany - GIZ - Deutsche Gesellschaft fur Internationale Zusammenarbeit GmbH,German Corporation for International Cooperation
Germany - GIZ - Deutsche Gesellschaft fur Internationale Zusammenarbeit GmbH,GIZ
Germany - GIZ - Deutsche Gesellschaft fur Internationale Zusammenarbeit GmbH,Germany - GIZ - German Corporation for International Cooperation GmbH
Germany - GIZ - Deutsche Gesellschaft fur Internationale Zusammenarbeit GmbH,Germany - GIZ - Deutsch eGesellschaft fur Internationale Zusammenarbeit GmbH
Germany - GIZ - Deutsche Gesellschaft fur Internationale Zusammenarbeit GmbH,Germany  GIZ  Deutsche Gesellschaft fur Internationale Zusammenarbeit GmbH
Germany - GIZ - Deutsche Gesellschaft fur Internationale Zusammenarbeit GmbH,Germany - GIZ - GIZ GmbH
Germany - GIZ - Deutsche Gesellschaft fur Internationale Zusammenarbeit GmbH,Germany - GIZ - Deutsche Gesellschaft fur Internationale Zusammenarbeit GmbH
Germany - GIZ - Deutsche Gesellschaft fur Internationale Zusammenarbeit GmbH,germany - giz - deutsche gesellschaft fur internationale zusammenarbeit gmbh
Sweden,Swdeen
Sweden,sweden
Sweden,Sweden
Swedish International Development Cooperation Agency,swedish international development cooperation agency
Swedish International Development Cooperation Agency,Swedish Inetrnational Development Cooperation Agency
Swedish International Development Cooperation Agency,Swedish International Development Cooperation Agency
IOM Development Fund,IOMD evelopment Fund
IOM Development Fund,iom development fund
IOM Development Fund,IOM Development Fund
UNITED NATIONS TRUST FUND FOR HUMAN SECURITY,UNITED NATIONS TRUST FUND FOR HUMAN SECURITY
UNITED NATIONS TRUST FUND FOR HUMAN SECURITY,UNITED NATIONS TRUST FUND FOR HUMNA SECURITY
UNITED NATIONS TRUST FUND FOR HUMAN SECURITY,united nations trust fund for human security
UNITED NATIONS PEACEBUILDING FUND,UNITE DNATIONS PEACEBUILDING FUND
UNITED NATIONS PEACEBUILDING FUND,united nations peacebuilding fund
UNITED NATIONS PEACEBUILDING FUND,UNITED NATIONS PEACEBUILDING FUND
Bionexx S.A.,Bionexx .SA.
Bionexx S.A.,bionexx s.a.
Bionexx S.A.,Bionexx SA
Bionexx S.A.,Bionexx S.A.
Haute Matsiatra Region,Hauet Matsiatra Region
Haute Matsiatra Region,haute matsiatra region
Haute Matsiatra Region,Haute Matsiatra Region
Société Industrielle et Commerciale D’Isandra (SICI) Sarlu,Société Industrielle et Commerciale DIsandra SICI Sarlu
Société Industrielle et Commerciale D’Isandra (SICI) Sarlu,Société Industrielle et Commerciale D’Isandra (SICI) Sarlu
Société Industrielle et Commerciale D’Isandra (SICI) Sarlu,Socéité Industrielle et Commerciale D’Isandra (SICI) Sarlu
Société Industrielle et Commerciale D’Isandra (SICI) Sarlu,société industrielle et commerciale d’isandra (sici) sarlu
Wageningen Universiteit/ Wageningen University,wageningen universiteit/ wageningen university
Wageningen Universiteit/ Wageningen University,Wageningen Universiteit Wageningen University
Wageningen Universiteit/ Wageningen University,Wageningen Universiteit/ Wageningen Univesrity
Wageningen Universiteit/ Wageningen University,Wageningen Universiteit/ Wageningen University
CRS Madagascar,CRSM adagascar
CRS Madagascar,crs madagascar
CRS Madagascar,CRS Madagascar
DREDD,DREDD
DREDD,dredd
QIMPEXX AGRI SARL,qimpexx agri sarl
QIMPEXX AGRI SARL,QIMPEXX AGRI SARL
QIMPEXX AGRI SARL,QIMPEXX AGRI ASRL
Qimpexx Netherlands B.V.,Qimpexx Netherlands B.V.
Qimpexx Netherlands B.V.,qimpexx netherlands b.v.
Qimpexx Netherlands B.V.,Qimpexx Netherlands BV
Qimpexx Netherlands B.V.,Qipmexx Netherlands B.V.
LENDAHAND ETHEX LTD,LENDAHAND ETHEX LTD
LENDAHAND ETHEX LTD,lendahand ethex ltd
LENDAHAND ETHEX LTD,LENDAHAND ETHE XLTD
bettervest GmbH,bettervest GmHb
bettervest GmbH,bettervest gmbh
bettervest GmbH,bettervest GmbH
AidData,iAdData
AidData,aiddata
AidData,AidData
World Bank,World Bakn
World Bank,world bank
World Bank,World Bank
CGIAR,CGIAR
CGIAR,cgiar
Germany-GIZ-Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH,germany-giz-deutsche gesellschaft für internationale zusammenarbeit gmbh
Germany-GIZ-Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH,GermanyGIZDeutsche Gesellschaft für Internationale Zusammenarbeit GmbH
Germany-GIZ-Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH,Germany-GIZ-Deutcshe Gesellschaft für Internationale Zusammenarbeit GmbH
Germany-GIZ-Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH,Germany-GIZ-Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH
International Maize and Wheat Improvement Center (CIMMYT),international maize and wheat improvement center (cimmyt)
International Maize and Wheat Improvement Center (CIMMYT),International Maize and Wheat Improvement Center C(IMMYT)
International Maize and Wheat Improvement Center (CIMMYT),International Maize and Wheat Improvement Center CIMMYT
International Maize and Wheat Improvement Center (CIMMYT),International Maize and Wheat Improvement Center (CIMMYT)
International Maize and Wheat Improvement Center,International Maize and Wheat Improvement Center
International Maize and Wheat Improvement Center,Intenrational Maize and Wheat Improvement Center
International Maize and Wheat Improvement Center,international maize and wheat improvement center
Australia-CSIRO-Commonwealth Scientific and Industrial Research Organisation,AustraliaCSIROCommonwealth Scientific and Industrial Research Organisation
Australia-CSIRO-Commonwealth Scientific and Industrial Research Organisation,australia-csiro-commonwealth scientific and industrial research organisation
Australia-CSIRO-Commonwealth Scientific and Industrial Research Organisation,Australia-CSIRO-Commownealth Scientific and Industrial Research Organisation
Australia-CSIRO-Commonwealth Scientific and Industrial Research Organisation,Australia-CSIRO-Commonwealth Scientific and Industrial Research Organisation
International Rice Research Institute (IRRI),international rice research institute (irri)
International Rice Research Institute (IRRI),International Rice Research Institute (IRRI)
International Rice Research Institute (IRRI),International Rice Rseearch Institute (IRRI)
International Rice Research Institute (IRRI),International Rice Research Institute IRRI
International Rice Research Institute,International Rice Research Institute
International Rice Research Institute,international rice research institute
International Rice Research Institute,International Riec Research Institute
Vietnam-Ministry of Agriculture and Rural Development,Vietnam-Ministry of Agriculture and Rural Development
Vietnam-Ministry of Agriculture and Rural Development,vietnam-ministry of agriculture and rural development
Vietnam-Ministry of Agriculture and Rural Development,VietnamMinistry of Agriculture and Rural Development
Vietnam-Ministry of Agriculture and Rural Development,Veitnam-Ministry of Agriculture and Rural Development
Indonesia-Ministry of Agriculture,Indonesia-Ministry of Agriculture
Indonesia-Ministry of Agriculture,IndonesiaMinistry of Agriculture
Indonesia-Ministry of Agriculture,indonesia-ministry of agriculture
Indonesia-Ministry of Agriculture,Indoneisa-Ministry of Agriculture
Philippines-Department of Agriculture,Philippines-Department of Agriculture
Philippines-Department of Agriculture,Philippines-Department ofA griculture
Philippines-Department of Agriculture,PhilippinesDepartment of Agriculture
Philippines-Department of Agriculture,philippines-department of agriculture
China-Ministry of Agriculture and Rural Affairs,china-ministry of agriculture and rural affairs
China-Ministry of Agriculture and Rural Affairs,ChinaMinistry of Agriculture and Rural Affairs
China-Ministry of Agriculture and Rural Affairs,China-Ministry of Agriculture and Rural Affairs
China-Ministry of Agriculture and Rural Affairs,China-Ministry of Agriuclture and Rural Affairs
Bangladesh-Ministry of Agriculture,Bangldaesh-Ministry of Agriculture
Bangladesh-Ministry of Agriculture,bangladesh-ministry of agriculture
Bangladesh-Ministry of Agriculture,Bangladesh-Ministry of Agriculture
Bangladesh-Ministry of Agriculture,BangladeshMinistry of Agriculture
Turkey - Ministry of Agriculture and Forestry,Turkey - Ministry of Agriculture and Forestry
Turkey - Ministry of Agriculture and Forestry,Turkey  Ministry of Agriculture and Forestry
Turkey - Ministry of Agriculture and Forestry,Turkey - iMnistry of Agriculture and Forestry
Turkey - Ministry of Agriculture and Forestry,turkey - ministry of agriculture and forestry
GCDT-Global Crop Diversity Trust,gcdt-global crop diversity trust
GCDT-Global Crop Diversity Trust,GCDTGlobal Crop Diversity Trust
GCDT-Global Crop Diversity Trust,GCDT-Globa lCrop Diversity Trust
GCDT-Global Crop Diversity Trust,GCDT-Global Crop Diversity Trust
Canada-Global Affairs Canada,CanadaGlobal Affairs Canada
Canada-Global Affairs Canada,canada-global affairs canada
Canada-Global Affairs Canada,Canada-Global Affaisr Canada
Canada-Global Affairs Canada,Canada-Global Affairs Canada
International Center for Tropical Agriculture (CIAT),International Center for Tropical Agriculture (CIAT)
International Center for Tropical Agriculture (CIAT),international center for tropical agriculture (ciat)
International Center for Tropical Agriculture (CIAT),International Center for Tropiacl Agriculture (CIAT)
International Center for Tropical Agriculture (CIAT),International Center for Tropical Agriculture CIAT
International Center for Tropical Agriculture,International Cetner for Tropical Agriculture
International Center for Tropical Agriculture,International Center for Tropical Agriculture
International Center for Tropical Agriculture,international center for tropical agriculture
International Food Policy Research institute (IFPRI),International Food Policy Research institute (IFPRI)
International Food Policy Research institute (IFPRI),International Food Policy Research institute IFPRI
International Food Policy Research institute (IFPRI),International Food Policy Research institute (IFPIR)
International Food Policy Research institute (IFPRI),international food policy research institute (ifpri)
WRI-World Resources Institute,WRI-World Resources Institute
WRI-World Resources Institute,WRIWorld Resources Institute
WRI-World Resources Institute,WRI-World Resourecs Institute
WRI-World Resources Institute,wri-world resources institute
International Food Policy Research institute,International Food Policy Research institute
International Food Policy Research institute,international food policy research institute
International Food Policy Research institute,International Food Policy Reserach institute
Google LLC,Googel LLC
Google LLC,google llc
Google LLC,Google LLC
Africa Rice Center (AfricaRice),Africa Rice Center (AfricaRice)
Africa Rice Center (AfricaRice),Africa Rice Center (AfricRaice)
Africa Rice Center (AfricaRice),africa rice center (africarice)
Africa Rice Center (AfricaRice),Africa Rice Center AfricaRice
BMGF-Bill & Melinda Gates Foundation,BMGF-Bill & Melinda Gates Foundation
BMGF-Bill & Melinda Gates Foundation,BMGFBill  Melinda Gates Foundation
BMGF-Bill & Melinda Gates Foundation,bmgf-bill & melinda gates foundation
BMGF-Bill & Melinda Gates Foundation,BMGF-Bill&  Melinda Gates Foundation
Africa Rice Center,africa rice center
Africa Rice Center,AfricaR ice Center
Africa Rice Center,Africa Rice Center
International Labour Organization (ILO),International Labour Organization (ILO)
International Labour Organization (ILO),International Labour Organization ILO
International Labour Organization (ILO),international labour organization (ilo)
International Labour Organization (ILO),International Labour Organizatoin (ILO)
United Nations Population Fund,Unitde Nations Population Fund
United Nations Population Fund,United Nations Population Fund
United Nations Population Fund,united nations population fund
**********,
**********,**********
International Fund for Agricultural Development,International Fund for Agricultuarl Development
International Fund for Agricultural Development,International Fund for Agricultural Development
International Fund for Agricultural Development,international fund for agricultural development
COMITE NATIONAL DE LUTTE CONTRE LE TRAVAIL DES ENFANTS,COMITE NATIONAL DE LUTTEC ONTRE LE TRAVAIL DES ENFANTS
COMITE NATIONAL DE LUTTE CONTRE LE TRAVAIL DES ENFANTS,comite national de lutte contre le travail des enfants
COMITE NATIONAL DE LUTTE CONTRE LE TRAVAIL DES ENFANTS,COMITE NATIONAL DE LUTTE CONTRE LE TRAVAIL DES ENFANTS
"France, Ministère du Travail des Relations sociales, de la Famille, de la Solidarité et de la Ville",France Ministère du Travail des Relations sociales de la Famille de la Solidarité et de la Ville
"France, Ministère du Travail des Relations sociales, de la Famille, de la Solidarité et de la Ville","France, Ministère du Travail des Relations sociales, de la Famille, de la Solidarité et de la Ville"
"France, Ministère du Travail des Relations sociales, de la Famille, de la Solidarité et de la Ville","france, ministère du travail des relations sociales, de la famille, de la solidarité et de la ville"
Multi donor funding to the STREAM Programme,multi donor funding to the stream programme
Multi donor funding to the STREAM Programme,Multi donor funding to the STREAM Programme
Multi donor funding to the STREAM Programme,Multi donor funding t othe STREAM Programme
Multi-donor funding to the Vision Zero Fund,multi-donor funding to the vision zero fund
Multi-donor funding to the Vision Zero Fund,Multi-donor funding to the Vision Zero Fund
Multi-donor funding to the Vision Zero Fund,Multi-donor funding to the VisionZ ero Fund
Multi-donor funding to the Vision Zero Fund,Multidonor funding to the Vision Zero Fund
ETABLISSEMENTS LUTTE CONTRE LE SIDA,etablissements lutte contre le sida
ETABLISSEMENTS LUTTE CONTRE LE SIDA,ETABLSISEMENTS LUTTE CONTRE LE SIDA
ETABLISSEMENTS LUTTE CONTRE LE SIDA,ETABLISSEMENTS LUTTE CONTRE LE SIDA
Joint United Nations Programme on HIV/AIDS,joint united nations programme on hiv/aids
Joint United Nations Programme on HIV/AIDS,Joint United Nations Programme on HIVAIDS
Joint United Nations Programme on HIV/AIDS,oJint United Nations Programme on HIV/AIDS
Joint United Nations Programme on HIV/AIDS,Joint United Nations Programme on HIV/AIDS
Multiple subscriptions Better Work,Multiple subscriptions Better Work
Multiple subscriptions Better Work,Multiple subscriptions Better Wrok
Multiple subscriptions Better Work,multiple subscriptions better work
"European Commission, DG Trade","European Commission, DG rTade"
"European Commission, DG Trade","European Commission, DG Trade"
"European Commission, DG Trade","european commission, dg trade"
"European Commission, DG Trade",European Commission DG Trade
"Finland, Ministry of Foreign Affairs","iFnland, Ministry of Foreign Affairs"
"Finland, Ministry of Foreign Affairs","finland, ministry of foreign affairs"
"Finland, Ministry of Foreign Affairs","Finland, Ministry of Foreign Affairs"
"Finland, Ministry of Foreign Affairs",Finland Ministry of Foreign Affairs
Korea-Rural Development Administration,Korea-Rural Development Adminsitration
Korea-Rural Development Administration,KoreaRural Development Administration
Korea-Rural Development Administration,korea-rural development administration
Korea-Rural Development Administration,Korea-Rural Development Administration
ABUAD- Afe Babalola University,ABUAD- Afe Babalola University
ABUAD- Afe Babalola University,ABUAD- AfeB abalola University
ABUAD- Afe Babalola University,abuad- afe babalola university
ABUAD- Afe Babalola University,ABUAD Afe Babalola University
International Livestock Research Institute (ILRI),International Livestock Research Institute ILRI
International Livestock Research Institute (ILRI),Internatinoal Livestock Research Institute (ILRI)
International Livestock Research Institute (ILRI),international livestock research institute (ilri)
International Livestock Research Institute (ILRI),International Livestock Research Institute (ILRI)
Madagascar-MINAE-Ministere de l Agriculture et Elevage,Madagascar-MINAE-Ministere de l Agriculture et Elevage
Madagascar-MINAE-Ministere de l Agriculture et Elevage,MadagascarMINAEMinistere de l Agriculture et Elevage
Madagascar-MINAE-Ministere de l Agriculture et Elevage,Madagsacar-MINAE-Ministere de l Agriculture et Elevage
Madagascar-MINAE-Ministere de l Agriculture et Elevage,madagascar-minae-ministere de l agriculture et elevage
International Livestock Research Institute,International Livestock Research Instituet
