org_id,org_name,org_type,org_type_code
XM-DAC-5-4,Germany Deutsche Investitions- und Entwicklungsgesellschaft mbH (German Investment and Development Company),Government,10
XM-DAC-5-5,Germany Federal Ministry of Finance,Government,10
XM-DAC-5-7,Germany Federal Foreign Office,Government,10
XM-DAC-5-9,"Germany Federal Ministry for the Enviroment, Nature Conservation, Nuclear Safety and Consumer Protection",Government,10
XM-DAC-5-12,Germany Federal States and Local Governments,Government,10
XM-DAC-5-14,Germany Federal Institutions,Government,10
XM-DAC-5-16,Germany Federal Ministries,Government,10
XM-DAC-5-17,Germany Foundations/Societies/Misc. (non federal),Government,10
XM-DAC-5-34,Germany Euler Hermes Aktiengesellschaft,Government,10
XM-DAC-5-52,Germany Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,Government,10
XM-DAC-5-60,Germany Federal Ministry of the Interior and Community,Government,10
XM-DAC-5-61,Germany Federal Ministry of Justice,Government,10
XM-DAC-5-62,Germany Federal Ministry for Economic Affairs and Climate Action,Government,10
XM-DAC-5-63,Germany Federal Ministry of Food and Agriculture,Government,10
XM-DAC-5-64,Germany Federal Ministry of Defence,Government,10
XM-DAC-5-65,"Germany Federal Ministry for Family Affairs, Senior Citizens, Women and Youth",Government,10
XM-DAC-5-66,Germany Federal Ministry of Health,Government,10
XM-DAC-5-67,Germany Federal Ministry for Digital and Transport,Government,10
XM-DAC-5-68,Germany Federal Ministry of Education and Research,Government,10
XM-DAC-5-69,Germany Federal Government Commissioner for Culture and the Media,Government,10
XM-DAC-5-70,Germany German Bundestag,Government,10
XM-DAC-5-71,Germany Federal Ministry of Labour and Social Affairs,Government,10
XM-DAC-5-72,"Germany Federal Ministry for Housing, Urban Development and Building",Government,10
XM-DAC-5-80,Germany Land Schleswig-Holstein,Government,10
XM-DAC-5-81,Germany Free and Hanseatic City of Hamburg,Government,10
XM-DAC-5-82,Germany Land Lower-Saxony,Government,10
XM-DAC-5-83,Germany Free Hanseatic City of Bremen,Government,10
XM-DAC-5-84,Germany Land North Rhine-Westphalia,Government,10
XM-DAC-5-85,Germany Land Hesse,Government,10
XM-DAC-5-86,Germany Land Rhineland-Palatinate,Government,10
XM-DAC-5-87,Germany Land Baden-Württemberg,Government,10
XM-DAC-5-88,Germany Free State of Bavaria,Government,10
XM-DAC-5-89,Germany Land Saarland,Government,10
XM-DAC-5-90,Germany Land Berlin,Government,10
XM-DAC-5-91,Germany Land Brandenburg,Government,10
XM-DAC-5-92,Germany Land Mecklenburg-Western Pomerania,Government,10
XM-DAC-5-93,Germany Land Saxony-Anhalt,Government,10
XM-DAC-5-94,Germany Free State of Saxony,Government,10
XM-DAC-5-95,Germany Free State of Thuringia,Government,10
XM-DAC-5-99,Germany Miscellaneous,Government,10
XM-DAC-6-1,Italy MGI,Government,10
XM-DAC-6-2,Italy Agenzia Erogazioni Per l'Agricoltura,Government,10
XM-DAC-6-3,Italy OGPI,Government,10
XM-DAC-6-4,Italy Agenzia italiana per la cooperazione allo sviluppo,Government,10
XM-DAC-6-5,Italy MC,Government,10
XM-DAC-6-7,Italy Central administration,Government,10
XM-DAC-6-8,Italy Local administration,Government,10
XM-DAC-6-9,Italy Artigiancassa,Government,10
XM-DAC-6-10,Italy Earmarked fiscal flows to NGOs & religious organisations,Government,10
XM-DAC-6-11,"Italy Public universities, research institutes and Italian red cross",Government,10
XM-DAC-6-12,Italy Ministry of Foreign Affairs and International Cooperation,Government,10
XM-DAC-6-13,Italy Ministry of Economy and Finance,Government,10
XM-DAC-6-14,Italy Italian Society for Enterprises Abroad,Government,10
XM-DAC-6-15,Italy Ministry of the Environment and Protection of Land and Sea,Government,10
XM-DAC-6-16,Italy Cassa Depositi e Prestiti,Government,10
XM-DAC-6-17,Italy Third Party funds administered by CDP,Government,10
XM-DAC-6-74,Italy Sezione Speciale per l'Assicurazione del Credito all'Esportazione,Government,10
XM-DAC-6-99,Italy Miscellaneous,Government,10
XM-DAC-7-1,Netherlands Ministry of Foreign Affairs of the Netherlands,Government,10
XM-DAC-7-3,Netherlands NG,Government,10
XM-DAC-7-4,Netherlands NLD Gov. through NLD Inv Bank for Developing Countries,Government,10
XM-DAC-7-5,Netherlands FMO,Government,10
XM-DAC-7-6,Netherlands Ministry for Justice and Security,Government,10
XM-DAC-7-33,Netherlands NCM Credit Management Worldwide,Government,10
XM-DAC-7-99,Netherlands Miscellaneous,Government,10
XM-DAC-8-1,Norway Norwegian Agency for Development Co-operation,Government,10
XM-DAC-8-4,Norway Ministry of Foreign Affairs,Government,10
XM-DAC-8-7,Norway Innovation Norway,Government,10
XM-DAC-8-8,Norway NORFUND,Government,10
XM-DAC-8-9,Norway Norwegian Agency for Exchange Cooperation,Government,10
XM-DAC-8-10,Norway Office of the Auditor General,Government,10
XM-DAC-8-11,Norway Ministry of Defence,Government,10
XM-DAC-8-12,Norway Ministry of Climate and Environment,Government,10
XM-DAC-8-13,Norway Ministry of Finance,Government,10
XM-DAC-8-14,Norway Ministry of Education and Research,Government,10
XM-DAC-8-15,Norway Ministry of Children and Families,Government,10
XM-DAC-8-16,Norway Ministry of Justice and Public Security,Government,10
XM-DAC-8-17,Norway Ministry of Labour and Social Inclusion,Government,10
XM-DAC-8-18,Norway Ministry of Health and Care Services,Government,10
XM-DAC-8-71,Norway Garantiinstituttet for eksportkreditt,Government,10
XM-DAC-8-99,Norway Miscellaneous,Government,10
XM-DAC-9-1,Portugal Portuguese Government,Government,10
XM-DAC-9-2,Portugal Camões-Institute for Cooperation and Language,Government,10
XM-DAC-9-3,Portugal Municipalities,Government,10
XM-DAC-9-4,Portugal SOFID Sociedade para o Financiamento do Desenvolvimento,Government,10
XM-DAC-9-71,Portugal Conselho de garantias financeiras,Government,10
XM-DAC-9-99,Portugal Miscellaneous,Government,10
XM-DAC-10-1,Sweden SIDA,Government,10
XM-DAC-10-2,Sweden Ministry of Foreign Affairs,Government,10
XM-DAC-10-3,Sweden SG,Government,10
XM-DAC-10-4,Sweden SAREC,Government,10
XM-DAC-10-5,Sweden BITS,Government,10
XM-DAC-10-6,Sweden Swedish International Development Authority,Government,10
XM-DAC-10-11,Sweden Ministry of the Environment,Government,10
XM-DAC-10-13,Sweden Swedish Migration Agency,Government,10
XM-DAC-10-20,Sweden Folke Bernadotte Academy,Government,10
XM-DAC-10-21,Sweden The Nordic Africa Institute,Government,10
XM-DAC-10-22,Sweden SwedFund,Government,10
XM-DAC-10-23,Sweden Swedish Civil Contingencies Agency,Government,10
XM-DAC-10-24,Sweden Swedish Institute,Government,10
XM-DAC-10-25,Sweden Swedish Prison and Probation Service,Government,10
XM-DAC-10-27,Sweden Swedish National Audit Office,Government,10
XM-DAC-10-28,Sweden Swedish Radiation Safety Authority,Government,10
XM-DAC-10-29,Sweden The Swedish Research Council,Government,10
XM-DAC-10-30,Sweden Swedish Council for Higher Education,Government,10
XM-DAC-10-31,Sweden Swedish Prosecution Authority,Government,10
XM-DAC-10-32,Sweden Swedish National Courts Administration,Government,10
XM-DAC-10-36,Sweden Swedish Police Authority,Government,10
XM-DAC-10-37,Sweden Swedish Consumer Agency,Government,10
XM-DAC-10-38,Sweden Swedish National Debt Office,Government,10
XM-DAC-10-39,Sweden National Board of Trade,Government,10
XM-DAC-10-71,Sweden Swedish Export Credits Guarantee Board,Government,10
XM-DAC-10-80,Sweden Statistics Sweden,Government,10
XM-DAC-10-99,Sweden Miscellaneous,Government,10
XM-DAC-11-1,Switzerland Federal Administration (various departments),Government,10
XM-DAC-11-4,Switzerland Swiss Agency for Development and Co-operation,Government,10
XM-DAC-11-5,Switzerland State Secretariat for Economic Affairs,Government,10
XM-DAC-11-6,Switzerland Federal Department of Foreign Affairs,Government,10
XM-DAC-11-7,"Switzerland State Secretariat for Education, Research and Innovation",Government,10
XM-DAC-11-8,Switzerland State Secretariat for Migration,Government,10
XM-DAC-11-9,"Switzerland Federal Department for Defence, Civil Protection and Sports",Government,10
XM-DAC-11-10,Switzerland Federal Office for the Environment,Government,10
XM-DAC-11-11,Switzerland Cantons and municipalities,Government,10
XM-DAC-11-22,Switzerland Swiss Investment Fund for Emerging Markets,Government,10
XM-DAC-11-99,Switzerland Miscellaneous,Government,10
XM-DAC-12-1,United Kingdom Department for International Development,Government,10
XM-DAC-12-2,United Kingdom British International Investment,Government,10
XM-DAC-12-3,United Kingdom Foreign & Commonwealth Office,Government,10
XM-DAC-12-4,United Kingdom Department of Energy and Climate Change,Government,10
XM-DAC-12-5,United Kingdom Export Credit Guarantee Department,Government,10
XM-DAC-12-6,United Kingdom Home Office,Government,10
XM-DAC-12-7,United Kingdom Department for Environment Food and Rural Affairs,Government,10
XM-DAC-12-8,United Kingdom Ministry of Defence,Government,10
XM-DAC-12-9,United Kingdom Department for Work and Pensions,Government,10
XM-DAC-12-10,United Kingdom Department of Health  and Social Care,Government,10
XM-DAC-12-11,"United Kingdom Department for Business, Innovation and Skills",Government,10
XM-DAC-12-12,"United Kingdom Department for Culture, Media and Sports",Government,10
XM-DAC-12-13,United Kingdom Prosperity Fund,Government,10
XM-DAC-12-14,United Kingdom Conflict stability and security fund,Government,10
XM-DAC-12-15,United Kingdom HM Revenue and Customs,Government,10
XM-DAC-12-16,"United Kingdom Department for Business, Energy and Industrial Strategy",Government,10
XM-DAC-12-17,"United Kingdom Foreign, Commonwealth and Development Office",Government,10
XM-DAC-12-21,United Kingdom Scottish Government,Government,10
XM-DAC-12-22,United Kingdom Welsh Assembly Government,Government,10
XM-DAC-12-23,United Kingdom FSD Africa (FSDA),Government,10
XM-DAC-12-24,United Kingdom Department for Education,Government,10
XM-DAC-12-25,United Kingdom Mobilising Finance for Forests,Government,10
XM-DAC-12-26,United Kingdom UK-India Tech Start-up Fund,Government,10
XM-DAC-12-27,"United Kingdom Department for Levelling Up, Housing and Communities",Government,10
XM-DAC-12-28,United Kingdom Innovative Ventures and Technologies for Development,Government,10
XM-DAC-12-29,United Kingdom Mobilising Institutional Capital Through Listed Product Structures,Government,10
XM-DAC-12-30,United Kingdom UK Climate Investments,Government,10
XM-DAC-12-99,United Kingdom Miscellaneous,Government,10
XM-DAC-18-1,Finland Finnish Government,Government,10
XM-DAC-18-2,Finland FinnFund,Government,10
XM-DAC-18-3,Finland Ministry of Foreign Affairs,Government,10
XM-DAC-18-4,Finland Other Ministries,Government,10
XM-DAC-18-72,Finland FinnVera,Government,10
XM-DAC-18-99,Finland Miscellaneous,Government,10
XM-DAC-20-1,Iceland Ministry of Foreign Affairs,Government,10
XM-DAC-20-2,Iceland ICEIDA,Government,10
XM-DAC-20-3,Iceland ICRU,Government,10
XM-DAC-20-4,Iceland Ministry of Finance,Government,10
XM-DAC-20-99,Iceland Miscellaneous,Government,10
XM-DAC-21-1,Ireland Department of Foreign Affairs,Government,10
XM-DAC-21-2,Ireland Department of Finance,Government,10
XM-DAC-21-3,"Ireland Department of Agriculture, Food and the Marine",Government,10
XM-DAC-21-99,Ireland Miscellaneous,Government,10
XM-DAC-22-1,Luxembourg Lux-Development,Government,10
XM-DAC-22-2,Luxembourg Ministry of Foreign and European Affairs,Government,10
XM-DAC-22-3,Luxembourg Ministry of Finance,Government,10
XM-DAC-22-4,Luxembourg Ministry of Culture,Government,10
XM-DAC-22-5,Luxembourg Ministry of Health,Government,10
XM-DAC-22-22,Luxembourg Ducroire Office,Government,10
XM-DAC-22-99,Luxembourg Miscellaneous,Government,10
XM-DAC-26-1,Monaco Government of Monaco,Government,10
XM-DAC-30-1,Cyprus Cyprus,Government,10
XM-DAC-40-1,Greece Ministry of the Interior,Government,10
XM-DAC-40-2,Greece Ministry of Finance,Government,10
XM-DAC-40-3,Greece Ministry of Foreign Affairs,Government,10
XM-DAC-40-4,Greece Ministry of National Defense,Government,10
XM-DAC-40-5,"Greece Ministry of Development, Competitiveness & Shipping",Government,10
XM-DAC-40-6,"Greece Ministry of the Environment, Energy & Climate Change",Government,10
XM-DAC-40-7,"Greece Ministry of Education, Life Long Learning & Religions",Government,10
XM-DAC-40-8,"Greece Ministry of Infrastructure, Transport and Networks",Government,10
XM-DAC-40-9,Greece Ministry of Employment & Social Security,Government,10
XM-DAC-40-10,Greece Ministry of Health & Social Solidarity,Government,10
XM-DAC-40-11,Greece Ministry of Agricultural Development & Food,Government,10
XM-DAC-40-12,"Greece Ministry of Justice, Transparency & Human Rights",Government,10
XM-DAC-40-13,Greece Ministry of Citizen Protection,Government,10
XM-DAC-40-14,Greece Ministry of Culture & Tourism,Government,10
XM-DAC-40-15,Greece Municipalities,Government,10
XM-DAC-40-99,Greece Miscellaneous,Government,10
XM-DAC-45-1,Malta Malta,Government,10
XM-DAC-50-1,Spain Instituto de Credito Oficial,Government,10
XM-DAC-50-2,Spain Compania Espanola de Seguros de Credito a la Exportacion,Government,10
XM-DAC-50-4,"Spain Ministry of Agriculture, Fisheries, and Food",Government,10
XM-DAC-50-5,Spain Ministry of Foreign Affairs and Co-operation,Government,10
XM-DAC-50-6,Spain Ministry of Economy and Business,Government,10
XM-DAC-50-7,"Spain Ministry of Education, Culture and Sports",Government,10
XM-DAC-50-8,Spain Ministry of Public Works,Government,10
XM-DAC-50-9,Spain Ministry of Industry and Energy,Government,10
XM-DAC-50-10,Spain Ministry of the Environment and Rural and Marine Environs,Government,10
XM-DAC-50-11,Spain Ministry of Health,Government,10
XM-DAC-50-12,"Spain Ministry of Labour, Migration and Social Security",Government,10
XM-DAC-50-13,Spain Ministry of Interior,Government,10
XM-DAC-50-14,Spain Ministry of Finance,Government,10
XM-DAC-50-15,Spain Autonomous Governments,Government,10
XM-DAC-50-16,Spain Municipalities,Government,10
XM-DAC-50-18,Spain Ministry of Science and Technology,Government,10
XM-DAC-50-19,Spain Ministry of Defense,Government,10
XM-DAC-50-20,Spain Public Universities,Government,10
XM-DAC-50-21,Spain Spanish Agency for International Development Co-operation,Government,10
XM-DAC-50-22,Spain Others ministries,Government,10
XM-DAC-50-30,Spain Comunidad Autónoma de Andalucía,Government,10
XM-DAC-50-31,Spain Comunidad Autónoma de Aragón,Government,10
XM-DAC-50-32,Spain Comunidad Autónoma del Principado de Asturias,Government,10
XM-DAC-50-33,Spain Comunidad Autónoma de las Illes Balears,Government,10
XM-DAC-50-34,Spain Comunidad Autónoma de Canarias,Government,10
XM-DAC-50-35,Spain Comunidad Autónoma de Cantabria,Government,10
XM-DAC-50-36,Spain Comunidad de Castilla y León,Government,10
XM-DAC-50-37,Spain Comunidad Autónoma de Castilla-La Mancha,Government,10
XM-DAC-50-38,Spain Comunidad Autónoma de Cataluña,Government,10
XM-DAC-50-39,Spain Comunidad Valenciana,Government,10
XM-DAC-50-40,Spain Comunidad Autónoma de Extremadura,Government,10
XM-DAC-50-41,Spain Comunidad Autónoma de Galicia,Government,10
XM-DAC-50-42,Spain Comunidad de Madrid,Government,10
XM-DAC-50-43,Spain Comunidad Autónoma de la Región de Murcia,Government,10
XM-DAC-50-44,Spain Comunidad Foral de Navarra,Government,10
XM-DAC-50-45,Spain Comunidad Autónoma del País Vasco o de Euskadi,Government,10
XM-DAC-50-46,Spain Comunidad Autónoma de La Rioja,Government,10
XM-DAC-50-47,Spain Ciudad de Ceuta,Government,10
XM-DAC-50-48,Spain Ciudad de Melilla,Government,10
XM-DAC-50-59,Spain Compañía Española de Financiación del Desarrollo,Government,10
XM-DAC-50-99,Spain Miscellaneous,Government,10
XM-DAC-55-1,Türkiye Türkiye,Government,10
XM-DAC-55-99,Türkiye Miscellaneous,Government,10
XM-DAC-61-1,Slovenia Ministry of Finance,Government,10
XM-DAC-61-2,Slovenia Ministry of Foreign and European Affairs,Government,10
XM-DAC-61-3,Slovenia Ministry of the Interior,Government,10
XM-DAC-61-4,Slovenia Ministry of Defence,Government,10
XM-DAC-61-5,"Slovenia Ministry of the Environment, Climate and Energy",Government,10
XM-DAC-61-6,"Slovenia Ministry of Higher Education, Science and Innovation",Government,10
XM-DAC-61-7,"Slovenia Ministry of the Economy, Tourism and Sport",Government,10
XM-DAC-61-99,Slovenia Miscellaneous,Government,10
XM-DAC-62-1,Croatia Ministry of Foreign and European Affairs,Government,10
XM-DAC-62-2,Croatia Ministry of Croatian Veterans,Government,10
XM-DAC-62-3,Croatia National Protection and Rescue Directorate,Government,10
XM-DAC-62-4,Croatia Ministry of Health,Government,10
XM-DAC-62-5,Croatia Ministry of Agriculture,Government,10
XM-DAC-62-6,"Croatia Ministry for Demography, Family, Youth and Social Policy",Government,10
XM-DAC-62-7,Croatia Ministry of Justice,Government,10
XM-DAC-62-8,Croatia Ministry of Science and Education,Government,10
XM-DAC-62-9,Croatia Ministry of Tourism and Sports,Government,10
XM-DAC-62-10,Croatia Central State Office for Croats Abroad,Government,10
XM-DAC-62-11,Croatia Croatian National Bank,Government,10
XM-DAC-62-12,Croatia Ministry of Environment and Energy,Government,10
XM-DAC-62-13,Croatia Ministry of Labour and Pension System,Government,10
XM-DAC-62-14,Croatia Ministry of the Interior,Government,10
XM-DAC-62-15,Croatia Croatian Meteorological and Hydrological Service,Government,10
XM-DAC-62-16,Croatia Office for Cooperation with NGOs,Government,10
XM-DAC-62-17,Croatia Central Government Office for Reconstruction and Housing,Government,10
XM-DAC-62-18,Croatia Ministry of Finance,Government,10
XM-DAC-62-19,Croatia Ministry of Economy and Sustainable Development,Government,10
XM-DAC-62-20,Croatia Croatian Bank for Reconstruction and Development,Government,10
XM-DAC-62-21,Croatia Ministry of Culture and Media,Government,10
XM-DAC-62-23,Croatia Ministry of Regional Development and EU Funding of Croatia,Government,10
XM-DAC-62-24,"Croatia Ministry of the Sea, Transport and Infrastructure",Government,10
XM-DAC-62-99,Croatia Miscellaneous,Government,10
XM-DAC-68-1,Czechia Czech Development Agency,Government,10
XM-DAC-68-2,Czechia Ministry of Foreign Affairs,Government,10
XM-DAC-68-3,Czechia Ministry of Finance,Government,10
XM-DAC-68-4,"Czechia Ministry of Education, Youth, Sports",Government,10
XM-DAC-68-5,Czechia Ministry of Interior,Government,10
XM-DAC-68-6,Czechia Police,Government,10
XM-DAC-68-7,Czechia Ministry of Defence,Government,10
XM-DAC-68-8,Czechia Ministry of Health,Government,10
XM-DAC-68-9,Czechia Ministry of Industry and Trade,Government,10
XM-DAC-68-10,Czechia Czech National Bank,Government,10
XM-DAC-68-11,Czechia Ministry of Justice,Government,10
XM-DAC-68-12,Czechia Ministry of Labour and Social Affairs,Government,10
XM-DAC-68-13,Czechia Universities,Government,10
XM-DAC-68-14,Czechia Regional Governments and Municipalities,Government,10
XM-DAC-68-15,Czechia Ministry of Environment,Government,10
XM-DAC-68-16,Czechia State Office for Nuclear Saftey,Government,10
XM-DAC-68-17,Czechia Czech Export Bank,Government,10
XM-DAC-68-18,Czechia EGAP,Government,10
XM-DAC-68-19,Czechia Ministry of Agriculture,Government,10
XM-DAC-68-20,Czechia Ministry of Regional Development,Government,10
XM-DAC-68-99,Czechia Miscellaneous,Government,10
XM-DAC-69-1,Slovak Republic Ministry of Foreign and European Affairs (MZVaEZ),Government,10
XM-DAC-69-2,Slovak Republic Slovak Agency for International Deve (SAMRS),Government,10
XM-DAC-69-3,Slovak Republic Ministry of Finance,Government,10
XM-DAC-69-4,"Slovak Republic Ministry of Education, Science, Rese (MSVVS)",Government,10
XM-DAC-69-5,Slovak Republic Ministry of Interior,Government,10
XM-DAC-69-18,Slovak Republic Other ministries,Government,10
XM-DAC-69-30,Slovak Republic Local and Regional governments,Government,10
XM-DAC-69-50,Slovak Republic Export-Import bank,Government,10
XM-DAC-69-99,Slovak Republic Miscellaneous,Government,10
XM-DAC-70-1,Liechtenstein Ministry of Foreign Affairs,Government,10
XM-DAC-70-2,Liechtenstein Municipalities,Government,10
XM-DAC-72-1,Bulgaria Bulgaria,Government,10
XM-DAC-75-1,Hungary Ministry of Finance,Government,10
XM-DAC-75-2,Hungary Ministry of Foreign Affairs and Trade,Government,10
XM-DAC-75-3,Hungary Office of Immigration and Nationality,Government,10
XM-DAC-75-4,Hungary Ministry of Interior,Government,10
XM-DAC-75-5,Hungary Ministry of Human Capacities,Government,10
XM-DAC-75-6,Hungary Ministry of Defence,Government,10
XM-DAC-75-7,Hungary Ministry of Agriculture,Government,10
XM-DAC-75-8,Hungary Ministry of Justice,Government,10
XM-DAC-75-9,Hungary Ministry for Innovation and Technology,Government,10
XM-DAC-75-10,Hungary Prime Minister's Office,Government,10
XM-DAC-75-21,Hungary Hungarian Export Import Bank PLC,Government,10
XM-DAC-75-99,Hungary Miscellaneous,Government,10
XM-DAC-76-1,Poland Ministry of Foreign Affairs,Government,10
XM-DAC-76-2,Poland Ministry of Education and Science,Government,10
XM-DAC-76-3,Poland Ministry of Interior and Administration,Government,10
XM-DAC-76-4,"Poland Ministry of Culture, National Heritage and Sport",Government,10
XM-DAC-76-5,Poland Ministry of Finance,Government,10
XM-DAC-76-6,Poland Ministry of Climate and Environment,Government,10
XM-DAC-76-99,Poland Miscellaneous,Government,10
XM-DAC-77-1,Romania Ministry of Foreign Affairs,Government,10
XM-DAC-77-2,Romania Ministry of Public Finance,Government,10
XM-DAC-77-3,Romania Senate of Romania,Government,10
XM-DAC-77-4,Romania Ministry of National Defence,Government,10
XM-DAC-77-6,Romania National Integrity Agency,Government,10
XM-DAC-77-8,"Romania Ministry of Labour, Family, Social Protection and Elderly",Government,10
XM-DAC-77-12,Romania National Agency of Civil Servants,Government,10
XM-DAC-77-13,Romania Youth and Sports Ministry,Government,10
XM-DAC-77-14,Romania Ministry of Justice,Government,10
